Shoal, Width,   1ft,    2ft,    3ft,    4ft,    5ft,    6ft,    7ft,    8ft,    9ft,   10ft,   Land, Mannings
245,   301.,   184.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    74.,   0.1
246,   314.,   592.,   178.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   415.,   0.1
247,   265.,    78.,    26.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   155.,   0.1
248,   381.,   301.,    30.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   481.,   0.1
249,  1356.,   182.,   219.,   255.,    73.,     0.,    36.,     0.,     0.,     0.,     0.,   728.,   0.1
250,   263.,    35.,     0.,    35.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   557.,   0.1
251,   176.,     0.,    29.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   485.,   0.1
252,   164.,   444.,   171.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   171.,   0.1
253,   123.,   141.,   169.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
254,   196.,   454.,   616.,    32.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   519.,   0.1
255,  1572.,    53.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   315.,   0.1
256,  1333.,   666.,    30.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1089.,   0.1
257,   418.,   338.,   135.,    34.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1014.,   0.1
258,   526.,   616.,    59.,    29.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   674.,   0.1
259,   458.,   198.,   113.,    28.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   310.,   0.1
260,   524.,   186.,     0.,    31.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   466.,   0.1
261,   366.,   477.,   318.,    95.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   350.,   0.1
262,   555.,    95.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   315.,   0.1
263,   307.,   880.,   455.,   121.,    30.,     0.,     0.,     0.,     0.,     0.,     0.,   425.,   0.1
264,   730.,   216.,   108.,    72.,    36.,   251.,   251.,   647.,     0.,     0.,     0.,    36.,   0.1
265,   403.,   482.,   371.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   148.,   0.1
266,   252.,    60.,    30.,    90.,    30.,   209.,   478.,   418.,  1015.,     0.,     0.,     0.,   0.1
267,   817.,   109.,    36.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   109.,   0.1
268,  1060.,    29.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   586.,   0.1
269,   716.,   155.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1433.,   0.1
270,   638.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1007.,   0.1
271,   322.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1632.,   0.1
272,   121.,     0.,    66.,     0.,     0.,     0.,    66.,     0.,    66.,     0.,     0.,  2118.,   0.1
273,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1226.,   0.1
274,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2491.,   0.1
275,   266.,   300.,   120.,    60.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   751.,   0.1
276,   662.,    70.,   174.,   174.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    35.,   0.1
277,   363.,    61.,   122.,    61.,   152.,   366.,   305.,     0.,     0.,     0.,     0.,   183.,   0.1
278,   381.,     0.,    39.,     0.,     0.,     0.,   310.,   658.,  1200.,     0.,     0.,   155.,   0.1
279,   390.,   262.,    98.,     0.,    98.,   131.,   294.,     0.,     0.,     0.,     0.,    98.,   0.1
280,    96.,    74.,     0.,   298.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   112.,   0.1
281,    91.,    31.,   124.,   247.,   185.,     0.,     0.,     0.,     0.,     0.,     0.,   618.,   0.1
282,    89.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   390.,   0.1
283,   113.,    37.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   374.,   0.1
284,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   314.,   0.1
285,    54.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1057.,   0.1
286,    17.,    29.,    29.,    29.,    29.,    29.,    29.,     0.,     0.,    29.,     0.,   846.,   0.1
287,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1370.,   0.1
288,    35.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  5670.,   0.1
289,   296.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  3170.,   0.1
290,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1625.,   0.1
291,    37.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2315.,   0.1
292,   300.,     0.,    29.,     0.,     0.,     0.,     0.,     0.,     0.,    29.,     0.,   490.,   0.1
293,   198.,     0.,     0.,   105.,    35.,     0.,     0.,     0.,     0.,     0.,     0.,  1500.,   0.1
294,   239.,     0.,    38.,    38.,     0.,    38.,   189.,  1705.,     0.,     0.,     0.,   152.,   0.1
295,   300.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   948.,   0.1
296,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   428.,   0.1
297,    47.,     0.,    89.,   118.,    89.,   295.,    30.,     0.,     0.,     0.,     0.,   650.,   0.1
298,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   263.,   0.1
299,   206.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   941.,   0.1
300,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   966.,   0.1
301,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   436.,   0.1
302,    40.,    32.,    32.,    32.,     0.,     0.,    97.,     0.,   130.,     0.,     0.,   227.,   0.1
303,   212.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   379.,   0.1
304,   300.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1105.,   0.1
305,   231.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1644.,   0.1
306,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1576.,   0.1
307,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2172.,   0.1
308,    71.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    65.,     0.,  2720.,   0.1
309,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2819.,   0.1
310,   750.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    60.,     0.,  5866.,   0.1
311,   491.,   980.,   142.,    14.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   724.,   0.1
312,    98.,    62.,     0.,     0.,     0.,     0.,    31.,     0.,     0.,     0.,     0.,  2862.,   0.1
313,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   776.,   0.1
314,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   972.,   0.1
315,    46.,   120.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   820.,   0.1
316,   120.,    37.,    37.,    37.,     0.,    37.,     0.,     0.,     0.,     0.,     0.,  1844.,   0.1
317,   125.,   246.,    62.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1570.,   0.1
318,    51.,     0.,    41.,    41.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1677.,   0.1
319,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   985.,   0.1
320,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  3022.,   0.1
321,   118.,    66.,     0.,    33.,   132.,    99.,     0.,     0.,     0.,     0.,     0.,  1421.,   0.1
322,   108.,    30.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1999.,   0.1
323,    83.,   496.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   601.,   0.1
324,   300.,    14.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   575.,   0.1
325,   370.,   369.,    43.,   156.,   113.,     0.,     0.,     0.,     0.,     0.,     0.,   908.,   0.1
326,    76.,   494.,    51.,    68.,   119.,     0.,     0.,     0.,     0.,     0.,     0.,   273.,   0.1
327,   135.,   160.,    16.,   303.,   255.,     0.,     0.,     0.,     0.,     0.,     0.,   670.,   0.1
328,    25.,    43.,    14.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   935.,   0.1
329,   235.,   257.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   910.,   0.1
330,   300.,    15.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   265.,   0.1
331,   329.,    77.,    19.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1414.,   0.1
332,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1699.,   0.1
333,  2000.,  2300.,  1200.,     0.,   100.,     0.,     0.,     0.,     0.,     0.,     0.,  3607.,   0.1
334,  2000.,   500.,  1000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1680.,   0.1
335,   160.,   739.,    35.,   123.,    70.,     0.,     0.,     0.,     0.,     0.,     0.,  1109.,   0.1
336,  3500.,   700.,   380.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1150.,   0.1
337,  3500.,   250.,   140.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   417.,   0.1
338,  3500.,   500.,   280.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   857.,   0.1
339,  3500.,   100.,    70.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   204.,   0.1
340,  3500.,   500.,   290.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   862.,   0.1
341,  3500.,  1000.,   580.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1644.,   0.1
342,  3500.,  1200.,   400.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1607.,   0.1
343,  3500.,  1800.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1963.,   0.1
344,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1335.,   0.1
345,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1810.,   0.1
346,  6100.,   500.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   526.,   0.1
347,  6100.,  2000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2266.,   0.1
348,  3200.,   600.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   615.,   0.1
349,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1485.,   0.1
350,   392.,   144.,   547.,    86.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   115.,   0.1
351,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   340.,   0.1
352,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1690.,   0.1
353,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1381.,   0.1
354,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   797.,   0.1
355,   738.,   107.,   213.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   640.,   0.1
356,  6900.,   500.,    10.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   671.,   0.1
357,  6900.,   500.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   766.,   0.1
358,  3200.,  1500.,  1150.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2912.,   0.1
359,  3200.,  6540.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  6535.,   0.1
360,  3200.,  4455.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  4453.,   0.1
361,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
362,   793.,     0.,     0.,     0.,  1446.,     0.,     0.,     0.,     0.,     0.,     0.,  1202.,   0.1
363,  1000.,     0.,     0.,     0.,  2222.,   176.,    32.,    32.,   112.,   176.,     0.,  1807.,   0.1
364,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
365,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  4399.,   0.1
366,   136.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  8217.,   0.1
367,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
368,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
369,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
370,   300.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  6167.,     0.,   0.1
371,   300.,     0.,     0.,     0.,    80.,   637.,  1035.,  4458.,   716.,    40.,     0.,     0.,   0.1
372,   357.,   107.,   107.,   249.,   356.,   143.,   178.,   392.,  1497.,     0.,     0.,   677.,   0.1
373,  5000.,   1150.,   20.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2288.,   0.1
374,   696.,    30.,    30.,    89.,    89.,   865.,  1193.,   239.,     0.,     0.,     0.,   597.,   0.1
375,    78.,     0.,    61.,   122.,    30.,   822.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
376,    88.,     0.,     0.,     0.,     0.,  1027.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
377,   657.,     0.,   131.,    33.,   131.,  1633.,   294.,     0.,     0.,     0.,     0.,   163.,   0.1
378,   480.,     0.,   120.,    60.,   329.,  1047.,  1765.,     0.,     0.,     0.,     0.,    90.,   0.1
379,   373.,     0.,   165.,    66.,    99.,   132.,   198.,   595.,     0.,     0.,     0.,    66.,   0.1
380,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   267.,   0.1
381,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   488.,   0.1
382,   464.,    58.,    58.,    29.,   317.,     0.,     0.,     0.,     0.,     0.,     0.,   260.,   0.1
383,    66.,    59.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1150.,   0.1
384,   387.,    37.,    37.,     0.,   412.,  3447.,     0.,     0.,     0.,     0.,     0.,    75.,   0.1
385,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   984.,   0.1
386,   338.,     0.,     0.,    52.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   156.,   0.1
387,   214.,    29.,     0.,   143.,   143.,     0.,     0.,     0.,     0.,     0.,     0.,   257.,   0.1
388,   221.,   210.,   210.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   350.,   0.1
389,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   580.,   0.1
390,   300.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   501.,  1150.,     0.,   0.1
391,   570.,   126.,  1384.,   252.,   126.,    63.,   189.,   566.,   346.,    63.,     0.,     0.,   0.1
392,  3244.,  1046.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
393,  1932.,  3668.,     0.,     0.,     0.,     0.,     0.,   173.,     0.,     0.,     0.,     0.,   0.1
394,  2881.,  2121.,   945.,   214.,   677.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
395,  3403.,   903.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
396,  4103.,    31.,   311.,   280.,   187.,   249.,   560.,  2239.,   933.,     0.,     0.,     0.,   0.1
397,   300.,     0.,     0.,     0.,   240.,  1198.,   616.,  1061.,   308.,     0.,     0.,     0.,   0.1
398,   888.,   322.,   497.,   351.,   615.,    88.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
399,  2808.,  3507.,   151.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
400,  1961.,  1841.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
401,  2283.,  2316.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
402,  2048.,  1191.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   131.,   0.1
403,  1101.,   472.,    15.,    59.,  2066.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
404,  2142.,  2918.,    19.,    19.,    58.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
405,  1659.,    34.,   378.,   447.,   344.,   550.,   344.,    34.,     0.,     0.,     0.,     0.,   0.1
406,   300.,     0.,     0.,    63.,  1065.,  1660.,   282.,     0.,     0.,     0.,     0.,     0.,   0.1
407,   300.,   134.,   634.,   701.,   100.,   267.,   100.,     0.,     0.,     0.,     0.,     0.,   0.1
408,   617.,   288.,   206.,    41.,    82.,   165.,   371.,  1895.,    41.,     0.,     0.,     0.,   0.1
409,   252.,    90.,    90.,    60.,    30.,    90.,   868.,    60.,     0.,     0.,     0.,    60.,   0.1
410,   363.,   108.,   613.,    72.,    72.,   216.,   722.,   180.,     0.,     0.,     0.,   938.,   0.1
411,   869.,     0.,     0.,     0.,    32.,    63.,  2021.,  2305.,     0.,     0.,     0.,   158.,   0.1
412,   401.,    30.,     0.,     0.,   243.,   821.,  1065.,     0.,     0.,     0.,     0.,   243.,   0.1
413,   353.,    35.,     0.,    35.,    69.,   657.,   554.,  1176.,    35.,     0.,     0.,    35.,   0.1
414,   125.,   157.,    39.,    79.,    39.,   550.,    79.,     0.,     0.,     0.,     0.,   667.,   0.1
415,   242.,   198.,    33.,    33.,   165.,   429.,   297.,     0.,     0.,     0.,     0.,   693.,   0.1
416,   169.,     0.,     0.,    36.,   109.,   254.,   436.,   618.,     0.,     0.,     0.,   218.,   0.1
417,   112.,    31.,     0.,     0.,   245.,  1162.,   795.,     0.,     0.,     0.,     0.,   367.,   0.1
418,   712.,   212.,    30.,    30.,    60.,    30.,     0.,     0.,     0.,     0.,     0.,  1119.,   0.1
419,    77.,    35.,     0.,     0.,     0.,   529.,  2223.,     0.,     0.,     0.,     0.,     0.,   0.1
420,   310.,    31.,     0.,    31.,   153.,  1711.,   550.,     0.,     0.,     0.,     0.,   122.,   0.1
421,   270.,   470.,   147.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   616.,   0.1
422,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
423,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
424,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
425,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
